,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,mean_test_score,std_test_score,rank_test_score,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subset__CONTACT_DATE_WEEKDAY,params
0,0.47619454741939454,0.48200313256637894,0.48738594859308093,0.4847560975609756,0.5102432526708891,0.5231326005772677,0.48573587951246866,0.4893831306512729,0.5060984159336825,0.5048390626923656,0.4480014500088916,0.451528152059423,0.5081699793442129,0.5135032078026893,0.5034300917882987,0.490327004363706,0.47975972258320454,0.48651560127491356,0.4842422677591891,0.501045613723103,0.4908147579442704,0.01852055613827792,1,0.007446134090423584,0.002137396353093142,0.0045010089874267575,0.0011384491955421594,True,{'subset__CONTACT_DATE_WEEKDAY': True}
1,0.4952293339534629,0.5025546147216939,0.4841986648974735,0.4830410516668263,0.4862471444400366,0.4794074798571878,0.5035643202057372,0.5042063937184521,0.47586624351941775,0.49366305076399053,0.48524342366250356,0.4930466259934613,0.4999170690669329,0.49670926637757684,0.500707050326252,0.500047022694007,0.48422944338809626,0.4915384799529431,0.5046219033418601,0.5017911371626335,0.4932914859855273,0.008817591034238834,1,0.004331660270690918,0.001344524126912064,0.003385782241821289,0.0016359002294761714,True,{'subset__CONTACT_DATE_WEEKDAY': True}
2,0.49606975773908046,0.490095310725962,0.506179636950604,0.4977582999329713,0.48167140883411075,0.4673064032939825,0.4835146984391886,0.47908772553793966,0.507747630056222,0.4987517612136301,0.4974411104879416,0.49732227131581463,0.49591757520211205,0.4947676565941206,0.4809677783401502,0.48843669206462115,0.503012017290672,0.49607745236173617,0.49976403157189175,0.4941589264462471,0.49280240721994983,0.009768486343116377,1,0.004492831230163574,0.0012244241040695787,0.0033063173294067385,0.0012296956916294209,True,{'subset__CONTACT_DATE_WEEKDAY': True}
3,0.481361059053664,0.47279437916364575,0.46196291533863176,0.48034707877925675,0.46199967853576457,0.49288076412732723,0.5204437574381352,0.508086193453073,0.48975418245489233,0.47450771514164947,0.49153335020450595,0.49217798859143946,0.4753173604366442,0.47238143441445635,0.5144282724375197,0.5102090543479748,0.49096480308605667,0.49332448736713946,0.5059137449899457,0.5115008959960603,0.4900944557678891,0.01703205497441715,1,0.003907501697540283,0.0012509407159485954,0.002877640724182129,0.0007353280913377154,True,{'subset__CONTACT_DATE_WEEKDAY': True}
4,0.511592376509856,0.5129927978331942,0.4950557774646731,0.493131266842674,0.5150233232562276,0.5194084032119064,0.4958773921726879,0.49904501183261973,0.48545545326457185,0.4656118763935817,0.49418457518843273,0.5049570469064196,0.4858384744812114,0.4699148803742665,0.5021690286308359,0.5043577212973476,0.4778240975062582,0.4760876776602875,0.5172872522331504,0.5258479474166586,0.49758311902384306,0.016569037541603188,1,0.004403936862945557,0.0011065884031001665,0.003431224822998047,0.001260719057518001,True,{'subset__CONTACT_DATE_WEEKDAY': True}
5,0.5135493755386236,0.5049963749777711,0.49308937389710406,0.48332575270508726,0.5009430187543602,0.5007891263012462,0.4789509322462826,0.490095310725962,0.45778473523658403,0.4738545271739874,0.5151661012543944,0.5053990602300863,0.45646553493016706,0.4738955651614845,0.5135032078026893,0.5147428970083308,0.4887803852099093,0.47782067767396685,0.46935402787847286,0.4769135671586665,0.48947097759325886,0.01823598801537558,1,0.004023623466491699,0.0012709603340841195,0.0028900146484375,0.0007827020667505561,True,{'subset__CONTACT_DATE_WEEKDAY': True}
6,0.4819509801239347,0.4894258785549156,0.5076510197939894,0.5169897268237965,0.5043474618004733,0.5000213739518214,0.5105749764031572,0.5026572096904367,0.4624408369013584,0.4572486765249032,0.498549991108436,0.49738724812935176,0.493523692598115,0.4926781390640603,0.4979369861701982,0.5003881509650767,0.47987428696496726,0.4832479515204574,0.4883255475151499,0.4935809747889963,0.49294005546967984,0.014380768373057134,1,0.004205811023712158,0.0008307719301605896,0.002979099750518799,0.0006621815823774052,True,{'subset__CONTACT_DATE_WEEKDAY': True}
7,0.5034583054047029,0.502139105098286,0.49309963339397833,0.48143031065756536,0.5072483345416741,0.5089411515259292,0.4757542440118737,0.46982938456698087,0.4911554587363035,0.48014017892562544,0.48090280152661313,0.47423840334869977,0.5094977292313585,0.5040516463072651,0.5023955925201428,0.5029752540935393,0.5069422595515916,0.5028572698794851,0.4981763744305979,0.4995614065086248,0.4947397422130418,0.012586252379040038,1,0.00420689582824707,0.0011835213753039204,0.002932918071746826,0.0008001491495895686,True,{'subset__CONTACT_DATE_WEEKDAY': True}
8,0.48986190717207223,0.48401484891180935,0.49846449530115045,0.49831573259647344,0.49703415044526217,0.5026991026360066,0.5111324090666594,0.5055948456287703,0.487831381749039,0.49726498912493333,0.4752190402582658,0.4910323447738123,0.5102612067904191,0.49921685840526375,0.5040071884874766,0.4896986101801567,0.49845423580427617,0.49716410407233624,0.49667592301273544,0.5023186462935858,0.4968131010355251,0.008475546559344052,1,0.00486142635345459,0.0023039598445713724,0.0034278750419616697,0.0015771921385197623,True,{'subset__CONTACT_DATE_WEEKDAY': True}
9,0.5204993297128708,0.5099115289386209,0.5178489596870169,0.5184593997510363,0.49650493139816426,0.49669045729997396,0.491057993515998,0.494800999958962,0.48114902945159566,0.4888658810171949,0.4986406166641587,0.4902303941014733,0.4879955336990275,0.4994912999466506,0.49573546913259375,0.48874960671928647,0.48558455193357314,0.49631855053828167,0.5112409887419122,0.5023528446165,0.4986064183412447,0.011153721989668613,1,0.004077768325805664,0.0015143591739696471,0.003011465072631836,0.0008629512467259389,True,{'subset__CONTACT_DATE_WEEKDAY': True}
10,0.4757559539280194,0.49044071378739584,0.49479159542016055,0.5012174602957471,0.5041345772403322,0.49289358849842,0.5112221796643093,0.502608477080284,0.4715777738259716,0.4847637921836313,0.49903304241959967,0.49545162305240553,0.490321019657196,0.4677655157791062,0.5026409654870525,0.5064609181565736,0.4911058711680779,0.4872457354691325,0.4919497147859868,0.4909314597212152,0.49261559888103085,0.01106658462756415,1,0.004059219360351562,0.0011112896403359762,0.003021645545959473,0.0010227439959160163,True,{'subset__CONTACT_DATE_WEEKDAY': True}
11,0.5139999384430187,0.525798359848433,0.5014995964597896,0.5020647237459475,0.5006018904832907,0.4905980260728014,0.4918616541044827,0.49130849623134487,0.4943264982285269,0.4973077370285761,0.5080519951301588,0.5082853986840485,0.5093729053527214,0.5021647538404717,0.49447355101705814,0.4996699861838775,0.500748943271822,0.4887538815096507,0.4958030108203494,0.49164962450241445,0.5004170485479391,0.008959933692707275,1,0.004566395282745361,0.0032459707384270508,0.0033772826194763184,0.001489227955821542,True,{'subset__CONTACT_DATE_WEEKDAY': True}
12,0.4925721242630262,0.48238444386687285,0.5125447998030177,0.5020467696264176,0.5044184233205203,0.506077896939934,0.5172017564258649,0.5206916952792635,0.5038575708247267,0.4928790542111815,0.4940854000519814,0.4932996935830267,0.5065173453893821,0.5047928949564313,0.48300428846969345,0.4806967566310548,0.5064062008399108,0.5110375087205723,0.5099645363391379,0.5095960494097369,0.5017037604475878,0.011126816546037505,1,0.004719972610473633,0.0016611967002256231,0.003357565402984619,0.0022678485257743236,True,{'subset__CONTACT_DATE_WEEKDAY': True}
13,0.5095635610029684,0.5026401105289797,0.5093515314009001,0.49804727576159663,0.5036669151744798,0.5040140281520594,0.49512160923628307,0.49044156874546874,0.5026401105289796,0.504456896433799,0.5045808653543631,0.5097687509404539,0.4908690477818968,0.49513614352352164,0.4807976416836518,0.4928072377330615,0.47631082171730293,0.4876150773566065,0.5026512249839268,0.505263976854575,0.49828721974474377,0.0092081253799461,1,0.004295468330383301,0.0015279670291309198,0.0033032774925231935,0.00155849935147205,True,{'subset__CONTACT_DATE_WEEKDAY': True}
14,0.49688624269865805,0.48129437232398126,0.500766042433279,0.5088684800897364,0.49812849677851795,0.5121463893410667,0.5061890414894054,0.5146548363268265,0.49694181497339374,0.5034326566625172,0.4944530320233096,0.48976187707754815,0.5097832852276923,0.5100876503016292,0.5135656197420079,0.5030462156135863,0.48917452088149593,0.48387463578786094,0.4873987729641738,0.495584996511771,0.49980194896242286,0.009861942112600315,1,0.003611588478088379,0.0004727645999635063,0.0025568008422851562,0.0003372885232488184,True,{'subset__CONTACT_DATE_WEEKDAY': True}
15,0.4572144782019889,0.4718376810801198,0.5060206147490527,0.4990586911617855,0.49085280357851246,0.49770101774208997,0.4903124700764675,0.4821741241809502,0.46878804563424215,0.4787679712186914,0.5009353241317046,0.4988509363500814,0.4885914394758081,0.489079620535409,0.503648106096877,0.5181387904737151,0.5045748806478529,0.5024528747110242,0.4770819938990192,0.47656303434879554,0.49013224491470936,0.014721332978922044,1,0.0037067532539367676,0.0006567303698897223,0.0025490403175354006,0.0003711961014937107,True,{'subset__CONTACT_DATE_WEEKDAY': True}
16,0.49244302559402486,0.4987491963394115,0.4892702761856559,0.502929086357605,0.47987343200689436,0.47438374622108526,0.47606288387617474,0.5009344691736317,0.5099217884354951,0.5060009507133769,0.48909073499035605,0.49062965952149706,0.4953695470774113,0.49337236501921944,0.49852092253395885,0.480458223328728,0.48608299249004827,0.46860337469050517,0.48745776507120087,0.4880305869800145,0.49040925133031465,0.010603229029623053,1,0.004805576801300049,0.0019408190221002189,0.003896284103393555,0.0023276840391331763,True,{'subset__CONTACT_DATE_WEEKDAY': True}
17,0.4918770433497941,0.49900995855163255,0.5141478461896228,0.5175445946130802,0.49441797874232246,0.4929457409408642,0.4946607868350136,0.49898259989330124,0.5018988618798135,0.5171444742349836,0.48143202057371104,0.4844260837448532,0.49548240154302836,0.4947334582712064,0.48842728752581976,0.4898319836395223,0.5127346004951917,0.5173359848433032,0.5142735250263327,0.5129816833782471,0.5007144457135823,0.01157685831067575,1,0.004247891902923584,0.001249269320159203,0.0027797818183898926,0.0005894129405588682,True,{'subset__CONTACT_DATE_WEEKDAY': True}
18,0.4964322599619715,0.4893668864478886,0.5015534588183795,0.5115043158283518,0.511777047453593,0.5075629591124852,0.5048946349671013,0.5043389122197448,0.47792156272656394,0.4857598183385087,0.4958833768791978,0.49079124659726686,0.48286407534574505,0.47696742951725646,0.4934356319166108,0.49350573847858503,0.48590174137860276,0.4979156122183768,0.5009276295090488,0.4981977483824193,0.4953751043048849,0.009949999093191577,1,0.005505251884460449,0.0016375242211807168,0.004851055145263672,0.0037301157792761575,True,{'subset__CONTACT_DATE_WEEKDAY': True}
19,0.5172171456711763,0.5119771076426411,0.47513183453483443,0.4883016086891099,0.4807121458763662,0.489976471553835,0.4951318687331573,0.4736168488297334,0.5053563123264435,0.4949831060284804,0.49080492592643254,0.47994268361079573,0.5073953873302054,0.5110665772950493,0.5009096753895189,0.5054905407438819,0.5058410735537529,0.5179566844041967,0.4591954160567966,0.47600645664336627,0.49435069354198874,0.01596125258306549,1,0.005032384395599365,0.0016109208115814338,0.004252004623413086,0.0022262317934502217,True,{'subset__CONTACT_DATE_WEEKDAY': True}
