Model;CV;AV;date;public;private
LightGBM;0.5722;0.5779;16.12.18 13:13:15;0.5860302;0.5776442      
LightGBM;0.5763;0.5726;16.12.18 12:42:36;0.5834938;0.5776506      
LightGBM;0.5700;0.5765;16.12.18 00:05:04;0.5831027;0.5742605      
LogisticRegression;0.5662;0.5782;16.12.18 00:04:38;0.5571344;0.5702352    
RandomForestClassifier;0.5626;0.5901;16.12.18 00:03:47;0.5539417;0.5438739
LightGBM;0.5696;0.6199;15.12.18 14:12:19;0.5871826;0.5737275      
LightGBM;0.5655;;15.12.18 13:51:13;0.5918919;0.5742689      
LightGBM;0.6683;;15.12.18 01:25:24;0.5495386;0.5546177      
LightGBM;0.7972;;15.12.18 00:52:58;0.5560374;0.5354375      
LightGBM;0.5648;;15.12.18 00:01:48;0.5867814;0.5758021      
LightGBM;0.5567;0.5911;14.12.18 13:15:11;0.5910593;0.5613472      
LightGBM;0.5629;0.5740;14.12.18 09:19:31;0.5904995;0.5843683      
LightGBM;0.5639;0.5825;14.12.18 01:00:35;0.5837473;0.5836873      
LightGBM;0.5614;0.5914;14.12.18 00:55:43;0.5837976;0.5828215      
LightGBM;0.5649;;14.12.18 00:24:30;0.5831346;0.5828454      
LightGBM;0.5669;0.5711;13.12.18 15:19:14;0.5826973;0.5720963      
LightGBM;0.5590;0.5641;12.12.18 17:27:08;0.5786577;0.5803282      
LogisticRegression;0.5657;0.5603;12.12.18 11:39:02;0.5499130;0.5655167    
LogisticRegression;0.5641;0.5814;12.12.18 11:07:45;0.5452212;0.5383158    
RandomForestClassifier;0.5752;0.5592;12.12.18 10:20:22;0.5549631;0.5503512
RandomForestClassifier;0.5743;0.5683;12.12.18 00:30:15;0.5559073;0.5463206
RandomForestClassifier;0.5660;0.5988;11.12.18 17:57:30;0.5605873;0.5421079
RandomForestClassifier;0.5682;0.5631;11.12.18 17:52:36;0.5647872;0.5424531
RandomForestClassifier;0.5674;0.5685;11.12.18 17:46:05;0.5609768;0.5413212
RandomForestClassifier;0.5688;0.5118;11.12.18 17:31:32;0.5626017;0.5402786
RandomForestClassifier;0.5649;0.5375;11.12.18 16:25:13;0.5586963;0.5341477
LogisticRegression;0.5561;0.5344;09.12.18 23:41:21;0.5373216;0.5340500    
RandomForestClassifier;0.5411;0.5503;09.12.18 21:01:34;0.5380720;0.5237295
LogisticRegression;0.5568;0.5550;09.12.18 21:00:56;0.5284820;0.5322049    
LogisticRegression;0.5540;0.5188;09.12.18 20:49:53;0.5354902;0.5378039    
LogisticRegression;0.5519;0.5343;07.12.18 19:25:22;0.5300012;0.5396211    
LogisticRegression;0.5357;0.5302;07.12.18 18:18:23;0.4993579;0.5116319    
LogisticRegression;0.5357;0.6464;07.12.18 18:16:22;0.4993579;0.5116319    
LogisticRegression;0.5519;;07.12.18 16:15:58;0.5304359;0.5360951          
LogisticRegression;0.5528;;07.12.18 13:35:47;0.5227109;0.5338206          
date_LogisticRegression;0.5153;;06.12.18 15:27:51;0.4960905;0.5097485     
date_LogisticRegression;0.5083;;06.12.18 13:01:09;0.4934408;0.5103838     
LogisticRegression;0.5146;;06.12.18 11:49:25;0.5079046;0.5360428          
LogisticRegression;0.55;;06.12.18 11:47:36;0.5186151;0.5398304            
LogisticRegression;0.5502;;06.12.18 00:15:08;0.5166293;0.5413299          
LogisticRegression;0.5524;;05.12.18 19:51:09;0.5304712;0.5320531          
GaussianNB;0.5458;;05.12.18 19:44:16;0.5203516;0.5268542                  
LogisticRegression;0.5463;;05.12.18 19:43:45;0.5273414;0.5318305          
ComplementNB;0.5493;;05.12.18 19:42:59;0.5221704;0.5350601                
LogisticRegression;0.5487;;04.12.18 13:33:20;0.5598588;0.5372126          
LogisticRegression;0.5557;;04.12.18 13:26:39;0.5318493;0.5407553          
LogisticRegression;0.5563;;04.12.18 13:23:43;0.5310755;0.5386322                
LogisticRegression;;;04.12.18 13:07:04;0.5469351;0.5240134                
LogisticRegression;;;04.12.18 13:06:06;0.4530649;0.4759866                